SYMBOL,FULLNAME,SECTOR
LUMAXTECH,Lumax Auto Technologies Limited,AUTO ANCILLARIES
LUPIN,Lupin Limited,PHARMACEUTICALS
LYKALABS,Lyka Labs Limited,PHARMACEUTICALS
LYPSAGEMS,Lypsa Gems & Jewellery Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
M&M,Mahindra & Mahindra Limited,MISCELLANEOUS
M&MFIN,Mahindra & Mahindra Financial Services Limited,MISCELLANEOUS
M100,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO,FINANCE - INVESTMENTS
M50,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF,FINANCE - INVESTMENTS
MAANALU,Maan Aluminium Limited,ALUMINIUM
MADHAV,Madhav Marbles and Granites Limited,CERAMICS/GRANITE
MADHUCON,Madhucon Projects Limited,CONSTRUCTION & CONTRACTING - CIVIL
MADRASFERT,Madras Fertilizers Limited,FERTILISERS
MAGMA,Magma Fincorp Limited,FINANCE - LEASING & HIRE PURCHASE
MAGNUM,Magnum Ventures Limited,PAPER
MAHABANK,Bank of Maharashtra,BANKS - PUBLIC SECTOR
MAHINDFORG,Mahindra Forgings Limited,CASTINGS & FORGINGS
MAHINDUGIN,Mahindra Ugine Steel Company Limited,STEEL - MEDIUM / SMALL
MAHLIFE,Mahindra Lifespace Developers Limited,CONSTRUCTION & CONTRACTING - CIVIL
MAHSCOOTER,Maharashtra Scooters Limited,AUTO - 2 & 3 WHEELERS
MAHSEAMLES,Maharashtra Seamless Limited,STEEL - TUBES/PIPES
MANAKSIA,Manaksia Limited,STEEL - ROLLING
MANALIPETC,Manali Petrochemicals Limited,PETROCHEMICALS
MANAPPURAM,Manappuram Finance Limited,FINANCE - LEASING & HIRE PURCHASE
MANDHANA,Mandhana Industries Limited,TEXTILES - GENERAL
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,FERTILISERS
MANGLMCEM,Mangalam Cement Limited,CEMENT - MAJOR
MANINDS,Man Industries (India) Limited,STEEL - TUBES/PIPES
MANINFRA,Man Infraconstruction Limited,CONSTRUCTION & CONTRACTING - CIVIL
MANJEERA,Manjeera Constructions Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
MANJUSHREE,Manjushree Technopack Limited,PACKAGING
MARALOVER,Maral Overseas Limited,TEXTILES - SPINNING - COTTON BLENDED
MARICO,Marico Limited,PERSONAL CARE
MARKSANS,Marksans Pharma Limited,PHARMACEUTICALS
MARUTI,Maruti Suzuki India Limited,AUTO - CARS & JEEPS
MASTEK,Mastek Limited,COMPUTERS - SOFTWARE
MAWANASUG,Mawana Sugars Limited,SUGAR
MAX,Max India Limited,PACKAGING
MAXWELL,Maxwell Industries Limited,TEXTILES - READYMADE APPARELS
MAYURUNIQ,Mayur Uniquoters Ltd,PLASTICS
MBECL,Mcnally Bharat Engineering Company Limited,ENGINEERING
MBLINFRA,MBL Infrastructures Limited,CONSTRUCTION & CONTRACTING - CIVIL
MCDHOLDING,McDowell Holdings Limited,FINANCE - INVESTMENTS
MCDOWELL-N,United Spirits Limited,BREWERIES & DISTILLERIES
MCLEODRUSS,Mcleod Russel India Limited,PLANTATIONS - TEA & COFFEE
MCX,Multi Commodity Exchange of India Limited,MISCELLANEOUS
MEGH,Meghmani Organics Limited,PESTICIDES/AGRO CHEMICALS
MERCK,Merck Limited,PHARMACEUTICALS
METKORE,Metkore Alloys & Industries Limited,STEEL - MEDIUM / SMALL
MGOLD,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares Gold ETF,FINANCE - INVESTMENTS
MHRIL,Mahindra Holidays & Resorts India Limited,HOTELS
MICROSEC,Microsec Financial Services Limited,FINANCE - GENERAL
MINDACORP,Minda Corporation Limited,AUTO ANCILLARIES
MINDAIND,Minda Industries Limited,AUTO ANCILLARIES
MINDTREE,MindTree Limited,COMPUTERS - SOFTWARE
MIRZAINT,Mirza International Limited,LEATHER PRODUCTS
MMFL,MM Forgings Limited,CASTINGS & FORGINGS
MMTC,MMTC Limited,TRADING
MOHITIND,Mohit Industries Limited,TEXTILES - PROCESSING
MOIL,MOIL Limited,MINING/MINERALS
MONNETISPA,Monnet Ispat and Energy Limited,STEEL - SPONGE IRON
MONSANTO,Monsanto India Limited,PESTICIDES/AGRO CHEMICALS
MORARJEE,Morarjee Textiles Limited,TEXTILES - SPINNING - COTTON BLENDED
MOSERBAER,Moser-Baer (I) Limited,COMPUTERS - HARDWARE
MOTHERSUMI,Motherson Sumi Systems Limited,AUTO ANCILLARIES
MOTILALOFS,Motilal Oswal Financial Services Limited,FINANCE - GENERAL
MOTOGENFIN,The Motor & General Finance Limited,FINANCE - LEASING & HIRE PURCHASE
MPHASIS,MphasiS Limited,COMPUTERS - SOFTWARE
MPSLTD,MPS Limited,PRINTING & STATIONERY
MRF,MRF Limited,TYRES
MRO-TEK,MRO-TEK Limited,COMPUTERS - HARDWARE
MRPL,Mangalore Refinery and Petrochemicals Limited,REFINERIES
MSPL,MSP Steel & Power Limited,STEEL - SPONGE IRON
MTEDUCARE,MT Educare Limited,COMPUTERS - SOFTWARE - TRAINING
MTNL,Mahanagar Telephone Nigam Limited,TELECOMMUNICATIONS - SERVICE
MUKANDENGG,Mukand Engineers Limited,CONSTRUCTION & CONTRACTING - CIVIL
MUNJALAU,Munjal Auto Industries Limited,AUTO ANCILLARIES
MUNJALSHOW,Munjal Showa Limited,AUTO ANCILLARIES
MURUDCERA,Murudeshwar Ceramics Limited,CERAMICS/GRANITE
MUTHOOTFIN,Muthoot Finance Limited,FINANCE - INVESTMENTS
MYSOREBANK,State Bank of Mysore,BANKS - PUBLIC SECTOR
N100,Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO,FINANCE - INVESTMENTS
NAGAROIL,Nagarjuna Oil Refinery Limited,REFINERIES
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,FINANCE - INVESTMENTS
NAGREEKEXP,Nagreeka Exports Limited,TEXTILES - SPINNING - COTTON BLENDED
NAHARCAP,Nahar Capital and Financial Services Limited,FINANCE - INVESTMENTS
NAHARINDUS,Nahar Industrial Enterprises Limited,TEXTILES - COMPOSITE MILLS
NAHARSPING,Nahar Spinning Mills Limited,TEXTILES - HOSIERY/KNITWEAR
NAKODA,Nakoda Limited,TEXTILES - PROCESSING
NANDANEXIM,some problem with the quote NANDANEXIM,TEXTILES - DENIM
NATCOPHARM,Natco Pharma Limited,PHARMACEUTICALS
NATHSEED,Nath Seeds  Limited,MISCELLANEOUS
NATIONALUM,National Aluminium Company Limited,ALUMINIUM
NATNLSTEEL,National Steel And Agro Industries Limited,STEEL - GP/GC SHEETS
NAUKRI,Info Edge (India) Limited,MISCELLANEOUS
NAVINFLUOR,Navin Fluorine International Limited,CHEMICALS
NAVNETEDUL,Navneet Education Limited,PRINTING & STATIONERY
NBCC,National Buildings Construction Corporation Limited,INFRASTRUCTURE - GENERAL
NBVENTURES,Nava Bharat Ventures Limited,DIVERSIFIED
NCC,NCC Limited,FINANCE - GENERAL
NCLIND,NCL Industries Limited,CEMENT - MINI
NCOPPER,Nissan Copper Limited,METALS - NON FERROUS
NDTV,New Delhi Television Limited,MEDIA & ENTERTAINMENT
NECLIFE,Nectar Lifesciences Limited,PHARMACEUTICALS
NELCAST,Nelcast Limited,CASTINGS & FORGINGS
NELCO,NELCO Limited,TELECOMMUNICATIONS - EQUIPMENT
NEOCORP,Neo Corp International Limited,PACKAGING
NEPCMICON,NEPC India Limited,ENGINEERING
NESCO,Nesco Limited,DIVERSIFIED
NESTLEIND,Nestle India Limited,FOOD PROCESSING
NET4,Net 4 India Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
NETWORK18,Network18 Media & Investments Limited,FINANCE - GENERAL
NEULANDLAB,Neuland Laboratories Limited,PHARMACEUTICALS
NEXTMEDIA,Next Mediaworks Limited,MEDIA & ENTERTAINMENT
NEYVELILIG,Neyveli Lignite Corporation Limited,POWER - GENERATION/DISTRIBUTION
NFL,National Fertilizers Limited,FERTILISERS
NHPC,NHPC Limited,POWER - GENERATION/DISTRIBUTION
NIBL,NRB Industrial Bearings Limited,BEARINGS
NICCO,Nicco Corporation Limited,CABLES - POWER/OTHERS
NIFETF,ICICI PMF - Nifty ETF - GROWTH,MISCELLANEOUS
NIFTYBEES,Goldman Sachs Nifty Exchange Traded Scheme,FINANCE - INVESTMENTS
NIITLTD,NIIT Limited,COMPUTERS - SOFTWARE - TRAINING
NIITTECH,NIIT Technologies Limited,COMPUTERS - SOFTWARE
NILKAMAL,Nilkamal Limited,PLASTICS
NIPPOBATRY,Indo-National Limited,DRY CELLS
NITINFIRE,Nitin Fire Protection Industries Limited,MISCELLANEOUS
NITINSPIN,Nitin Spinners Limited,TEXTILES - SPINNING - COTTON BLENDED
NMDC,NMDC Limited,MINING/MINERALS
NOCIL,NOCIL Limited,PETROCHEMICALS
NOIDATOLL,Noida Toll Bridge Company Limited,CONSTRUCTION & CONTRACTING - CIVIL
NOL,National Oxygen Limited,CHEMICALS
NORBTEAEXP,Norben Tea & Exports Limited,PLANTATIONS - TEA & COFFEE
NOVOPANIND,Novopan Industries Limited,MISCELLANEOUS
NRBBEARING,NRB Bearing Limited,BEARINGS
NSIL,Nalwa Sons Investments Limited,FINANCE - GENERAL
NTPC,NTPC Limited,POWER - GENERATION/DISTRIBUTION
NUCLEUS,Nucleus Software Exports Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
NUTEK,Nu Tek India Limited,TELECOMMUNICATIONS - SERVICE
OBEROIRLTY,Oberoi Realty Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
OCL,OCL India Limited,CEMENT - MAJOR
OFSS,Oracle Financial Services Software Limited,COMPUTERS - SOFTWARE
OIL,Oil India Limited,OIL DRILLING AND EXPLORATION
OILCOUNTUB,Oil Country Tubular Limited,STEEL - TUBES/PIPES
OISL,OCL Iron and Steel Limited,STEEL - MEDIUM / SMALL
OMAXAUTO,Omax Autos Limited,AUTO ANCILLARIES
OMAXE,Omaxe Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
OMKARCHEM,Omkar Speciality Chemicals Limited,CHEMICALS
OMMETALS,OM Metals Infraprojects Limited,ENGINEERING
OMNITECH,Omnitech Infosolutions Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
ONELIFECAP,Onelife Capital Advisors Limited,FINANCE - INVESTMENTS
ONGC,Oil & Natural Gas Corporation Limited,OIL DRILLING AND EXPLORATION
ONMOBILE,OnMobile Global Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
ONWARDTEC,Onward Technologies Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
OPTOCIRCUI,Opto Circuits (India) Limited,HOSPITALS & MEDICAL SERVICES
ORBITCORP,Orbit Corporation Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
ORBTEXP,Orbit Exports Limited,some problem with symbol: ORBTEXP
ORCHIDCHEM,Orchid Chemicals & Pharmaceuticals Limited,PHARMACEUTICALS
ORIENTABRA,Orient Abrasives Limited,ABRASIVES
ORIENTBANK,Oriental Bank of Commerce,BANKS - PUBLIC SECTOR
ORIENTBELL,Orient Bell Limited,CERAMICS/GRANITE
ORIENTCEM,Orient Cement Limited,CEMENT - MAJOR
ORIENTHOT,Oriental Hotels Limited,HOTELS
ORIENTPPR,Orient Paper & Industries Limited,DIVERSIFIED
ORIENTREF,Orient Refractories Limited,CEMENT - PRODUCTS/BUILDING MATERIALS
ORISSAMINE,The Orissa Minerals Development Company Limited,MINING/MINERALS
OUDHSUG,The Oudh Sugar Mills Limited,SUGAR
PAGEIND,Page Industries Limited,TEXTILES - READYMADE APPARELS
PANACEABIO,Panacea Biotec Limited,PHARMACEUTICALS
PANAMAPET,Panama Petrochem Limited,CHEMICALS
PANASONIC,Panasonic Appliances India Company Limited,DRY CELLS
PANCARBON,Panasonic Carbon India Company Limited,ELECTRODES/GRAPHITE
PANORAMUNI,Panoramic Universal Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
PAPERPROD,The Paper Products Limited,PACKAGING
PARACABLES,Paramount Communications Limited,CABLES - TELEPHONE
PARAL,Parekh Aluminex Limited,PACKAGING
PARRYSUGAR,Parrys Sugar Industries Limited,MINING/MINERALS
PARSVNATH,Parsvnath Developers Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
PATELENG,Patel Engineering Limited,CONSTRUCTION & CONTRACTING - CIVIL
PATINTLOG,Patel Integrated Logistics Limited,TRANSPORT & LOGISTICS
PATSPINLTD,Patspin India Limited,TEXTILES - SPINNING - COTTON BLENDED
PCJEWELLER,PC Jeweller Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
PDPL,Parenteral Drugs (India) Limited,PHARMACEUTICALS
PDUMJEIND,Pudumjee Industries Limited,PAPER
PDUMJEPULP,Pudumjee Pulp & Paper Mills Limited,PAPER
PEL,Piramal Enterprises Limited,PHARMACEUTICALS
PENIND,Pennar Industries Limited,STEEL - CR/HR STRIPS
PENINLAND,Peninsula Land Limited,CONSTRUCTION & CONTRACTING - HOUSING
PERIATEA,The Peria Karamalai Tea & Produce Company Limited,PLANTATIONS - TEA & COFFEE
PERSISTENT,Persistent Systems Limited,COMPUTERS - SOFTWARE
PETRONET,Petronet LNG Limited,OIL DRILLING AND EXPLORATION
PFC,Power Finance Corporation Limited,FINANCE - TERM LENDING INSTITUTIONS
PFIZER,Pfizer Limited,PHARMACEUTICALS
PFOCUS,Prime Focus Limited,MEDIA & ENTERTAINMENT
PFRL,Pantaloons Fashion & Retail Limited,RETAIL
PFS,PTC India Financial Services Limited,FINANCE - TERM LENDING INSTITUTIONS
PGEL,PG Electroplast Limited,CONSUMER GOODS - ELECTRONIC
PGHH,Procter & Gamble Hygiene and Health Care Limited,PERSONAL CARE
PGIL,Pearl Global Industries Limited,TEXTILES - READYMADE APPARELS
PHILIPCARB,Phillips Carbon Black Limited,CHEMICALS
PHOENIXLL,Phoenix Lamps Limited,AUTO ANCILLARIES
PHOENIXLTD,The Phoenix Mills Limited,TEXTILES - SPINNING - COTTON BLENDED
PIDILITIND,Pidilite Industries Limited,CHEMICALS
PIIND,PI Industries Limited,PESTICIDES/AGRO CHEMICALS
PILIND,Peacock Industries Limited,some problem with symbol: PILIND
PIPAVAVDOC,Pipavav Defence and Offshore Engineering Company Limited,SHIPPING
PIRGLASS,Piramal Glass Limited,GLASS & GLASS PRODUCTS
PITTILAM,Pitti Laminations Limited,ENGINEERING
PLETHICO,Plethico Pharmaceuticals Limited,PHARMACEUTICALS
PNB,Punjab National Bank,FINANCE - INVESTMENTS
PNBGILTS,PNB Gilts Limited,FINANCE - INVESTMENTS
POCHIRAJU,Pochiraju Industries Limited,MISCELLANEOUS
POLARIS,Polaris Financial Technology Limited,COMPUTERS - SOFTWARE
POLYMED,Poly Medicure Limited,HOSPITALS & MEDICAL SERVICES
POLYPLEX,Polyplex Corporation Limited,PACKAGING
PONDYOXIDE,Pondy Oxides & Chemicals Limited,CHEMICALS
PONNIERODE,Ponni Sugars (Erode) Limited,SUGAR
POWERGRID,Power Grid Corporation of India Limited,POWER - GENERATION/DISTRIBUTION
PPAP,Precision Pipes And Profiles Company Limited,AUTO ANCILLARIES
PRAENG,Prajay Engineers Syndicate Limited,CONSTRUCTION & CONTRACTING - HOUSING
PRAJIND,Praj Industries Limited,ENGINEERING - HEAVY
PRAKASH,Prakash Industries Limited,DIVERSIFIED
PRAKASHCON,Prakash Constrowell Limited,CONSTRUCTION & CONTRACTING - CIVIL
PRAKASHSTL,Prakash Steelage Limited,STEEL - TUBES/PIPES
PRATIBHA,Pratibha Industries Limited,CONSTRUCTION & CONTRACTING - CIVIL
PRECOT,Precot Meridian Limited,TEXTILES - SPINNING - COTTON BLENDED
PRECWIRE,Precision Wires India Limited,METALS - NON FERROUS
PREMIER,Premier Limited,AQUACULTURE
PRESTIGE,Prestige Estates Projects Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
PRICOL,Pricol Limited,AUTO ANCILLARIES
PRISMCEM,Prism Cement Limited,CEMENT - MAJOR
PROVOGE,Provogue (India) Limited,RETAIL
PSB,Punjab & Sind Bank,BANKS - PUBLIC SECTOR
PSL,PSL Limited,STEEL - TUBES/PIPES
PSUBNKBEES,Goldman Sachs PSU Bank Exchange Traded Scheme,FINANCE - INVESTMENTS
PTC,PTC India Limited,TRADING
PTL,PTL Enterprises Limited,TYRES
PUNJLLOYD,Punj Lloyd Limited,INFRASTRUCTURE - GENERAL
PURVA,Puravankara Projects Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
PVP,PVP Ventures Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
PVR,PVR Limited,MEDIA & ENTERTAINMENT
QGOLDHALF,Quantum Gold Fund -Exchange Traded Fund (ETF),FINANCE - INVESTMENTS
QNIFTY,Quantum Index Fund -Exchange Traded Fund (ETF),FINANCE - INVESTMENTS
RADICO,Radico Khaitan Limited,BREWERIES & DISTILLERIES
RAIN,Rain Industries Limited,MISCELLANEOUS
RAINBOWPAP,Rainbow Papers Limited,PAPER
RAJESHEXPO,Rajesh Exports Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
RAJPALAYAM,Rajapalayam Mills Limited,TEXTILES - SPINNING - COTTON BLENDED
RAJRAYON,Raj Rayon Industries Limited,TEXTILES - PROCESSING
RAJSREESUG,Rajshree Sugars & Chemicals Limited,SUGAR
RAJTV,Raj Television Network Limited,MEDIA & ENTERTAINMENT
RALLIS,Rallis India Limited,PESTICIDES/AGRO CHEMICALS
RAMANEWS,Shree Rama Newsprint Limited,PAPER
RAMCOCEM,The Ramco Cements Limited,CEMENT - MAJOR
RAMCOIND,Ramco Industries Limited,CEMENT - PRODUCTS/BUILDING MATERIALS
RAMCOSYS,Ramco Systems Limited,COMPUTERS - SOFTWARE
RAMSARUP,Ramsarup Industries Limited,STEEL - MEDIUM / SMALL
RANASUG,Rana Sugars Limited,SUGAR
RANBAXY,Ranbaxy Laboratories Limited,PHARMACEUTICALS
RANEENGINE,Rane Engine Valve Limited,AUTO ANCILLARIES
RANEHOLDIN,Rane Holdings Limited,AUTO ANCILLARIES
RANKLIN,Ranklin Solutions Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
RASOYPR,Rasoya Proteins Limited,EDIBLE OILS & SOLVENT EXTRACTION
RATNAMANI,Ratnamani Metals & Tubes Limited,STEEL - MEDIUM / SMALL
RAYMOND,Raymond Limited,TEXTILES - WOOLLEN/WORSTED
RCF,Rashtriya Chemicals and Fertilizers Limited,FERTILISERS
RCOM,Reliance Communications Limited,TELECOMMUNICATIONS - SERVICE
RECLTD,Rural Electrification Corporation Limited,FINANCE - TERM LENDING INSTITUTIONS
REDINGTON,Redington (India) Limited,COMPUTERS - HARDWARE
REGENCERAM,Regency Ceramics Limited,CERAMICS/GRANITE
REIAGROLTD,Rei Agro Limited,FOOD PROCESSING
RELAXO,Relaxo Footwears Limited,LEATHER PRODUCTS
RELBANK,R* Shares Banking ETF,FINANCE - INVESTMENTS
RELCAPITAL,Reliance Capital Limited,FINANCE - INVESTMENTS
RELCNX100,Reliance Mutual Fund - R* Shares CNX 100 Fund,FINANCE - INVESTMENTS
RELGOLD,R* Shares Gold ETF,FINANCE - INVESTMENTS
RELGRNIFTY,Religare Invesco Nifty Exchange Traded Fund,FINANCE - INVESTMENTS
RELIANCE,Reliance Industries Limited,REFINERIES
RELIGARE,Religare Enterprises Limited,FINANCE - INVESTMENTS
RELIGAREGO,Religare Invesco Gold Exchange Traded Fund,FINANCE - INVESTMENTS
RELINFRA,Reliance Infrastructure Limited,POWER - GENERATION/DISTRIBUTION
RELMEDIA,Reliance MediaWorks Limited,MEDIA & ENTERTAINMENT
RENUKA,Shree Renuka Sugars Limited,SUGAR
REPCOHOME,Repco Home Finance Limited,FINANCE - HOUSING
REPRO,Repro India Limited,PRINTING & STATIONERY
RESPONIND,Responsive Industries Limited,FINANCE - INVESTMENTS
REVATHI,Revathi Equipment Limited,COMPRESSORS
RICOAUTO,Rico Auto Industries Limited,AUTO ANCILLARIES
RIIL,Reliance Industrial Infrastructure Limited,INFRASTRUCTURE - GENERAL
RJL,Renaissance Jewellery Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
RKDL,Ravi Kumar Distilleries Limited,BREWERIES & DISTILLERIES
RKFORGE,Ramkrishna Forgings Limited,CASTINGS & FORGINGS
RML,Rane (Madras) Limited,AUTO ANCILLARIES
ROHITFERRO,Rohit Ferro-Tech Limited,MINING/MINERALS
ROHLTD,Royal Orchid Hotels Limited,HOTELS
ROLTA,Rolta India Limited,COMPUTERS - SOFTWARE
ROSSELLIND,Rossell India Limited,PLANTATIONS - TEA & COFFEE
RPGLIFE,RPG Life Sciences Limited,PHARMACEUTICALS
RPOWER,Reliance Power Limited,POWER - GENERATION/DISTRIBUTION
RPPINFRA,R.P.P. Infra Projects Limited,CONSTRUCTION & CONTRACTING - CIVIL
RSSOFTWARE,R. S. Software (India) Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
RSWM,RSWM Limited,TEXTILES - SPINNING - SYNTHETIC BLENDED
RSYSTEMS,R Systems International Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
RUBYMILLS,The Ruby Mills Limited,TEXTILES - COMPOSITE MILLS
RUCHINFRA,Ruchi Infrastructure Limited,EDIBLE OILS & SOLVENT EXTRACTION
RUCHISOYA,Ruchi Soya Industries Limited,EDIBLE OILS & SOLVENT EXTRACTION
RUPA,Rupa & Company Limited,TEXTILES - HOSIERY/KNITWEAR
RUSHIL,Rushil Decor Limited,MISCELLANEOUS
SABERORGAN,Sabero Organics Gujarat Limited,PESTICIDES/AGRO CHEMICALS
SABTN,Sri Adhikari Brothers Television Network Limited,MEDIA & ENTERTAINMENT
SADBHAV,Sadbhav Engineering Limited,INFRASTRUCTURE - GENERAL
SAHPETRO,Sah Petroleums Limited,OIL DRILLING AND EXPLORATION
SAIL,Steel Authority of India Limited,STEEL - LARGE
SAKHTISUG,Sakthi Sugars Limited,SUGAR
SAKSOFT,Saksoft Limited,COMPUTERS - SOFTWARE
SAKUMA,Sakuma Exports Limited,TRADING
SANDESH,The Sandesh Limited,PRINTING & STATIONERY
SANGAMIND,Sangam (India) Limited,TEXTILES - SPINNING - SYNTHETIC BLENDED
SANGHIIND,Sanghi Industries Limited,CEMENT - PRODUCTS/BUILDING MATERIALS
SANGHVIMOV,Sanghvi Movers Limited,ENGINEERING - HEAVY
SANOFI,Sanofi India Limited,PHARMACEUTICALS
SANWARIA,Sanwaria Agro Oils Limited,EDIBLE OILS & SOLVENT EXTRACTION
SARDAEN,Sarda Energy & Minerals Limited,STEEL - SPONGE IRON
SAREGAMA,Saregama India Limited,MEDIA & ENTERTAINMENT
SASKEN,Sasken Communication Technologies Limited,COMPUTERS - SOFTWARE
SATHAISPAT,Sathavahana Ispat Limited,STEEL - PIG IRON
SAVERA,Savera Industries Limited,HOTELS
SBBJ,State Bank of Bikaner and Jaipur,BANKS - PUBLIC SECTOR
SBIGETS,SBI Mutual Fund - SBI Gold Exchange Traded Scheme - Growth Option,FINANCE - INVESTMENTS
SBIN,State Bank of India,BANKS - PUBLIC SECTOR
SBT,State Bank of Travancore,BANKS - PUBLIC SECTOR
SCHNEIDER,Schneider Electric Infrastructure Limited,POWER - GENERATION/DISTRIBUTION
SCI,Shipping Corporation Of India Limited,SHIPPING
SEAMECLTD,Seamec Limited,SHIPPING
SEINV,S.E. Investments Limited,FINANCE - INVESTMENTS
SELAN,Selan Exploration Technology Limited,OIL DRILLING AND EXPLORATION
SELMCL,SEL Manufacturing Company Limited,TEXTILES - GENERAL
SERVALL,Servalakshmi Paper Limited,PAPER
SESHAPAPER,Seshasayee Paper and Boards Limited,PAPER
SEZAL,Sezal Glass Limited,GLASS & GLASS PRODUCTS
SFCL,Star Ferro and Cement Limited,STEEL - MEDIUM / SMALL
SGJHL,SHREE GANESH JEWELLERY HOUSE (I) LIMITED,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
SHAKTIPUMP,Shakti Pumps (India) Limited,PUMPS
SHALPAINTS,Shalimar Paints Limited,PAINTS/VARNISHES
SHANTIGEAR,Shanthi Gears Limited,ENGINEERING
SHARIABEES,Goldman Sachs S&P CNX Nifty Shariah Index Exchange Traded Scheme,FINANCE - INVESTMENTS
SHARONBIO,Sharon Bio-Medicine Limited,PHARMACEUTICALS
SHARRESLTD,Sharyans Resources Limited,FINANCE - HOUSING
SHASUNPHAR,Shasun Pharmaceuticals Limited,PHARMACEUTICALS
SHILPAMED,Shilpa Medicare Limited,PHARMACEUTICALS
SHILPI,Shilpi Cable Technologies Limited,CABLES - TELEPHONE
SHIRPUR-G,Shirpur Gold Refinery Limited,MINING/MINERALS
SHIVAMAUTO,Shivam Autotech Limited,AUTO ANCILLARIES
SHOPERSTOP,Shoppers Stop Limited,RETAIL
SHREECEM,Shree Cements Limited,CEMENT - MAJOR
SHREERAMA,Shree Rama Multi-Tech Limited,PACKAGING
SHRENUJ,Shrenuj & Company Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
SHREYAS,Shreyas Shipping & Logistics Limited,SHIPPING
SHRIRAMCIT,Shriram City Union Finance Limited,FINANCE - LEASING & HIRE PURCHASE
SHRIRAMEPC,Shriram EPC Limited,ENGINEERING - HEAVY
SICAGEN,Sicagen India Limited,TRADING
SICAL,Sical Logistics Limited,TRADING
SIEMENS,Siemens Limited,AUTO ANCILLARIES
SIGNETIND,Signet Industries Limited,FINANCE - INVESTMENTS
SIMBHSUGAR,Simbhaoli Sugars Limited,SUGAR
SIMPLEX,Simplex Projects Limited,CASTINGS & FORGINGS
SIMPLEXINF,Simplex Infrastructures Limited,CONSTRUCTION & CONTRACTING - CIVIL
SINTEX,Sintex Industries Limited,DIVERSIFIED
SIRPAPER,The Sirpur Paper Mills Limited,PAPER
SITASHREE,Sita Shree Food Products Limited,FOOD PROCESSING
SITICABLE,Siti Cable Network Limited,MEDIA & ENTERTAINMENT
SIYSIL,Siyaram Silk Mills Limited,TEXTILES - WEAVING
SJVN,SJVN Limited,POWER - GENERATION/DISTRIBUTION
SKFINDIA,SKF India Limited,BEARINGS
SKMEGGPROD,SKM Egg Products Export (India) Limited,FOOD PROCESSING
SKSMICRO,SKS Microfinance Limited,FINANCE - GENERAL
SMARTLINK,Smartlink Network Systems Limited,COMPUTERS - HARDWARE
SMLISUZU,SML Isuzu Limited,AUTO - LCVS/HCVS
SMOBILITY,S Mobility Limited,COMPUTERS - HARDWARE
SMSPHARMA,SMS Pharmaceuticals Limited,PHARMACEUTICALS
SOBHA,Sobha Developers Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
SOLARINDS,Solar Industries India Limited,CHEMICALS
SOMANYCERA,Somany Ceramics Limited,CERAMICS/GRANITE
SONASTEER,Sona Koyo Steering Systems Limited,AUTO ANCILLARIES
SONATSOFTW,Sonata Software Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
SOTL,Savita Oil Technologies Limited,PETROCHEMICALS
SOUTHBANK,The South Indian Bank Limited,BANKS - PRIVATE SECTOR
SPARC,Sun Pharma Advanced Research Company Limited,COMPUTERS - HARDWARE
SPECIALITY,Speciality Restaurants Limited,LUBRICANTS
SPENTEX,Spentex Industries Limited,TEXTILES - SPINNING - COTTON BLENDED
SPIC,Southern Petrochemicals Industries Corporation  Limited,TEXTILES - READYMADE APPARELS
SPYL,Shekhawati Poly-Yarn Limited,TEXTILES - MANMADE
SREINFRA,SREI Infrastructure Finance Limited,FINANCE - LEASING & HIRE PURCHASE
SRF,SRF Limited,PETROCHEMICALS
